IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.105.224,8880,8880,false,SIN,Asia Pacific,Singapore,4,1.41
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,86,1.41
47.76.77.103,8880,8880,false,HKG,Asia Pacific,Hong Kong,38,1.41
8.222.191.138,2053,2053,true,SIN,Asia Pacific,Singapore,43,1.40
8.210.3.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,82,1.40
8.222.215.228,8880,8880,false,SIN,Asia Pacific,Singapore,6,1.39
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,13,1.39
8.222.162.45,2052,2052,false,SIN,Asia Pacific,Singapore,14,1.39
47.236.130.95,2095,2095,false,SIN,Asia Pacific,Singapore,20,1.38
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,1.37
8.210.119.11,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,1.37
47.236.125.62,2053,2053,true,NRT,Asia Pacific,Tokyo,98,1.37
8.210.156.6,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,1.36
47.243.234.9,2095,2095,false,HKG,Asia Pacific,Hong Kong,63,1.36
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,149,1.35
47.237.94.140,2053,2053,true,SIN,Asia Pacific,Singapore,66,1.34
47.76.146.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,1.33
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,106,1.33
8.219.193.202,2053,2053,true,SIN,Asia Pacific,Singapore,114,1.32
47.245.105.224,2083,2083,true,SIN,Asia Pacific,Singapore,47,1.32
47.236.174.206,8443,8443,true,SIN,Asia Pacific,Singapore,106,1.32
8.219.84.214,2083,2083,true,SIN,Asia Pacific,Singapore,40,1.31
8.212.41.98,8080,8080,false,SJC,North America,San Jose,44,1.31
8.210.55.134,2095,2095,false,HKG,Asia Pacific,Hong Kong,74,1.29
47.76.94.15,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,1.28
47.89.191.155,443,443,true,IAD,North America,Ashburn,221,1.28
198.11.175.125,80,80,false,SJC,North America,San Jose,180,1.28
8.210.107.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,1.26
47.76.204.76,8880,8880,false,HKG,Asia Pacific,Hong Kong,48,1.26
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,28,1.25
8.222.184.198,2087,2087,true,SIN,Asia Pacific,Singapore,71,1.25
8.218.22.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,1.24
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,61,1.23
8.210.207.214,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,1.23
47.243.42.219,2053,2053,true,HKG,Asia Pacific,Hong Kong,65,1.22
8.218.53.110,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,1.22
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,20,1.21
8.210.119.11,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,1.20
47.243.107.148,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,1.20
8.210.100.23,2052,2052,false,HKG,Asia Pacific,Hong Kong,34,1.19
8.219.67.133,2096,2096,true,SIN,Asia Pacific,Singapore,72,1.18
8.210.146.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,57,1.18
47.76.178.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,37,1.17
47.236.9.152,8880,8880,false,SIN,Asia Pacific,Singapore,33,1.16
47.242.174.27,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,1.15
8.210.100.23,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,1.15
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,1.14
8.210.9.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,51,1.14
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,41,1.14
8.219.161.129,2083,2083,true,SIN,Asia Pacific,Singapore,58,1.12
8.218.2.181,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,1.11
47.76.94.15,80,80,false,HKG,Asia Pacific,Hong Kong,38,1.11
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,43,1.11
8.218.3.12,8443,8443,true,HKG,Asia Pacific,Hong Kong,81,1.11
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,1.10
47.236.9.152,8880,8880,false,SIN,Asia Pacific,Singapore,10,1.10
8.218.8.142,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,1.08
47.236.169.15,2052,2052,false,SIN,Asia Pacific,Singapore,29,1.08
8.219.237.250,2087,2087,true,SIN,Asia Pacific,Singapore,54,1.08
47.243.234.9,8880,8880,false,HKG,Asia Pacific,Hong Kong,34,1.05
8.210.107.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,1.04
8.222.136.247,8443,8443,true,SIN,Asia Pacific,Singapore,69,1.04
47.236.10.182,2052,2052,false,SIN,Asia Pacific,Singapore,57,1.04
8.218.188.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,1.04
47.76.146.1,80,80,false,HKG,Asia Pacific,Hong Kong,42,1.03
47.245.118.70,2053,2053,true,SIN,Asia Pacific,Singapore,85,1.03
47.236.10.100,2086,2086,false,SIN,Asia Pacific,Singapore,19,1.02
47.236.10.100,2052,2052,false,SIN,Asia Pacific,Singapore,22,1.01
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,42,0.99
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,135,0.95
47.245.102.52,2095,2095,false,SIN,Asia Pacific,Singapore,5,0.95
8.219.201.245,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.94
8.222.187.4,80,80,false,SIN,Asia Pacific,Singapore,12,0.94
8.219.201.245,2082,2082,false,SIN,Asia Pacific,Singapore,24,0.93
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,103,0.93
47.243.27.217,8443,8443,true,HKG,Asia Pacific,Hong Kong,46,0.92
47.237.8.82,2052,2052,false,SIN,Asia Pacific,Singapore,23,0.92
47.243.60.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,0.91
47.243.90.180,2053,2053,true,HKG,Asia Pacific,Hong Kong,99,0.91
8.210.119.11,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,0.91
8.219.174.142,2087,2087,true,SIN,Asia Pacific,Singapore,96,0.89
8.218.18.235,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,0.88
8.218.11.90,2082,2082,false,HKG,Asia Pacific,Hong Kong,56,0.86
47.76.94.15,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,0.85
8.218.22.210,80,80,false,HKG,Asia Pacific,Hong Kong,49,0.85
8.210.119.11,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,0.84
8.218.204.128,2095,2095,false,HKG,Asia Pacific,Hong Kong,53,0.84
47.237.95.146,2083,2083,true,SIN,Asia Pacific,Singapore,47,0.84
47.76.178.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,63,0.84
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,24,0.84
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,43,0.83
8.210.55.134,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.83
47.245.86.230,443,443,true,SIN,Asia Pacific,Singapore,37,0.83
47.243.60.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,0.82
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,41,0.80
47.76.94.15,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,0.79
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,92,0.79
47.243.234.9,80,80,false,HKG,Asia Pacific,Hong Kong,48,0.78
8.210.107.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,0.78
8.210.100.23,8080,8080,false,HKG,Asia Pacific,Hong Kong,68,0.78
8.210.100.23,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,0.78
47.237.92.26,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.78
8.218.211.17,2095,2095,false,HKG,Asia Pacific,Hong Kong,35,0.77
8.218.53.110,2086,2086,false,HKG,Asia Pacific,Hong Kong,43,0.77
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,0.77
8.219.153.237,2096,2096,true,NRT,Asia Pacific,Tokyo,198,0.76
47.90.141.204,443,443,true,LAX,North America,Los Angeles,221,0.76
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,61,0.75
47.76.94.15,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,0.75
8.218.243.95,2053,2053,true,HKG,Asia Pacific,Hong Kong,93,0.73
47.76.94.15,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,0.73
47.243.90.180,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,0.73
47.237.95.13,2086,2086,false,SIN,Asia Pacific,Singapore,29,0.73
8.222.225.193,443,443,true,SIN,Asia Pacific,Singapore,32,0.72
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,25,0.72
47.245.102.52,80,80,false,SIN,Asia Pacific,Singapore,8,0.70
47.243.206.150,80,80,false,HKG,Asia Pacific,Hong Kong,42,0.70
47.243.74.220,2053,2053,true,HKG,Asia Pacific,Hong Kong,82,0.70
8.210.146.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,53,0.69
47.242.155.183,80,80,false,HKG,Asia Pacific,Hong Kong,37,0.68
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,157,0.68
47.243.74.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,65,0.68
47.243.91.58,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,0.68
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,61,0.68
47.91.93.199,443,443,true,FRA,Europe,Frankfurt,284,0.67
8.219.153.237,8080,8080,false,NRT,Asia Pacific,Tokyo,99,0.67
47.76.204.76,2095,2095,false,HKG,Asia Pacific,Hong Kong,107,0.66
47.76.33.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,0.66
47.76.204.76,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,0.66
47.90.141.204,80,80,false,LAX,North America,Los Angeles,221,0.66
8.210.156.6,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,0.65
8.210.100.23,80,80,false,HKG,Asia Pacific,Hong Kong,66,0.65
8.218.243.95,2083,2083,true,HKG,Asia Pacific,Hong Kong,79,0.64
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,56,0.64
47.243.234.9,2052,2052,false,HKG,Asia Pacific,Hong Kong,44,0.62
8.218.2.181,2086,2086,false,HKG,Asia Pacific,Hong Kong,35,0.62
47.242.252.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,96,0.61
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,0.61
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,0.60
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,0.60
47.76.94.15,2086,2086,false,HKG,Asia Pacific,Hong Kong,72,0.59
47.76.146.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,0.59
8.211.12.239,443,443,true,FRA,Europe,Frankfurt,275,0.58
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,0.57
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,0.56
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,0.55
47.243.107.148,8443,8443,true,HKG,Asia Pacific,Hong Kong,52,0.55
47.236.5.223,8880,8880,false,SIN,Asia Pacific,Singapore,20,0.55
