IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.189.143,2082,2082,false,SIN,Asia Pacific,Singapore,43,8.13
8.219.240.160,8443,8443,true,SIN,Asia Pacific,Singapore,81,8.13
47.237.82.15,8443,8443,true,SIN,Asia Pacific,Singapore,104,8.12
8.217.250.5,2095,2095,false,HKG,Asia Pacific,Hong Kong,51,8.12
47.237.0.31,8443,8443,true,SIN,Asia Pacific,Singapore,91,8.11
47.236.170.54,8443,8443,true,SIN,Asia Pacific,Singapore,74,8.11
8.222.179.231,2052,2052,false,SIN,Asia Pacific,Singapore,25,8.10
8.219.83.71,8443,8443,true,SIN,Asia Pacific,Singapore,87,8.10
8.219.170.232,80,80,false,SIN,Asia Pacific,Singapore,7,8.10
8.219.200.145,2053,2053,true,SIN,Asia Pacific,Singapore,108,8.10
8.218.143.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,51,8.09
8.219.191.110,2053,2053,true,SIN,Asia Pacific,Singapore,82,8.08
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,28,8.08
8.219.5.10,2083,2083,true,SIN,Asia Pacific,Singapore,91,8.08
8.217.248.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,8.07
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,27,8.07
8.222.184.198,2095,2095,false,SIN,Asia Pacific,Singapore,21,8.07
8.217.221.165,2086,2086,false,HKG,Asia Pacific,Hong Kong,48,8.06
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,45,8.05
8.219.120.87,8443,8443,true,SIN,Asia Pacific,Singapore,120,8.05
8.218.204.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,8.05
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,47,8.05
8.219.126.240,2082,2082,false,SIN,Asia Pacific,Singapore,6,8.04
8.219.193.202,2095,2095,false,SIN,Asia Pacific,Singapore,17,8.04
47.243.107.148,2086,2086,false,HKG,Asia Pacific,Hong Kong,55,8.04
8.222.214.231,2082,2082,false,SIN,Asia Pacific,Singapore,9,8.04
47.243.234.9,8880,8880,false,HKG,Asia Pacific,Hong Kong,33,8.03
8.219.210.64,2095,2095,false,SIN,Asia Pacific,Singapore,10,8.03
8.219.222.98,8880,8880,false,SIN,Asia Pacific,Singapore,18,8.02
8.219.126.240,8443,8443,true,SIN,Asia Pacific,Singapore,71,8.02
8.218.85.128,8880,8880,false,HKG,Asia Pacific,Hong Kong,59,8.00
8.219.201.245,80,80,false,SIN,Asia Pacific,Singapore,24,7.99
47.242.202.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,64,7.99
8.219.198.139,2087,2087,true,SIN,Asia Pacific,Singapore,61,7.99
47.76.159.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,7.98
8.219.1.92,8443,8443,true,SIN,Asia Pacific,Singapore,80,7.98
8.218.204.128,8880,8880,false,HKG,Asia Pacific,Hong Kong,33,7.98
47.236.169.164,8443,8443,true,SIN,Asia Pacific,Singapore,66,7.98
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,54,7.97
47.242.234.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,7.97
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,48,7.97
8.222.136.247,8443,8443,true,SIN,Asia Pacific,Singapore,49,7.97
47.236.93.176,8880,8880,false,SIN,Asia Pacific,Singapore,29,7.96
8.222.174.108,2052,2052,false,SIN,Asia Pacific,Singapore,15,7.96
8.219.11.158,2052,2052,false,SIN,Asia Pacific,Singapore,12,7.96
8.219.83.71,2083,2083,true,SIN,Asia Pacific,Singapore,53,7.95
8.219.170.232,8443,8443,true,SIN,Asia Pacific,Singapore,68,7.95
8.219.210.57,2083,2083,true,SIN,Asia Pacific,Singapore,73,7.95
47.236.165.25,8880,8880,false,SIN,Asia Pacific,Singapore,15,7.95
8.219.139.13,8080,8080,false,SIN,Asia Pacific,Singapore,11,7.94
8.219.222.98,80,80,false,SIN,Asia Pacific,Singapore,386,7.94
8.219.189.143,2096,2096,true,SIN,Asia Pacific,Singapore,56,7.94
8.218.211.17,8880,8880,false,HKG,Asia Pacific,Hong Kong,48,7.94
8.219.202.130,2095,2095,false,SIN,Asia Pacific,Singapore,37,7.94
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,7.94
8.219.163.195,2095,2095,false,SIN,Asia Pacific,Singapore,52,7.93
8.219.99.169,2082,2082,false,SIN,Asia Pacific,Singapore,5,7.93
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,77,7.93
8.218.243.95,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,7.93
8.219.163.195,8080,8080,false,SIN,Asia Pacific,Singapore,4,7.92
8.217.149.28,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,7.92
47.236.146.249,2082,2082,false,SIN,Asia Pacific,Singapore,14,7.92
47.242.157.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,52,7.92
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,33,7.92
47.236.158.158,2082,2082,false,SIN,Asia Pacific,Singapore,21,7.91
8.219.6.150,2082,2082,false,SIN,Asia Pacific,Singapore,9,7.91
47.242.234.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,7.90
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,13,7.90
8.222.150.197,2087,2087,true,SIN,Asia Pacific,Singapore,50,7.90
8.219.106.156,2082,2082,false,SIN,Asia Pacific,Singapore,33,7.90
47.243.91.58,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,7.89
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,18,7.89
8.218.11.90,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,7.88
8.210.39.96,2096,2096,true,HKG,Asia Pacific,Hong Kong,87,7.87
8.219.174.213,2052,2052,false,SIN,Asia Pacific,Singapore,20,7.87
8.219.199.220,443,443,true,SIN,Asia Pacific,Singapore,89,7.87
8.210.156.6,2053,2053,true,HKG,Asia Pacific,Hong Kong,128,7.87
8.222.136.247,2087,2087,true,SIN,Asia Pacific,Singapore,47,7.87
47.242.59.216,2052,2052,false,HKG,Asia Pacific,Hong Kong,44,7.86
8.222.191.138,2082,2082,false,SIN,Asia Pacific,Singapore,3,7.85
8.219.78.1,2053,2053,true,SIN,Asia Pacific,Singapore,55,7.85
8.217.121.207,8443,8443,true,HKG,Asia Pacific,Hong Kong,63,7.85
8.219.5.10,443,443,true,SIN,Asia Pacific,Singapore,87,7.84
8.218.11.90,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,7.84
47.242.202.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,57,7.84
8.219.199.220,2082,2082,false,SIN,Asia Pacific,Singapore,10,7.83
8.210.119.11,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,7.83
8.210.174.156,2053,2053,true,HKG,Asia Pacific,Hong Kong,139,7.82
8.222.214.231,2086,2086,false,SIN,Asia Pacific,Singapore,4,7.82
8.219.237.250,2082,2082,false,SIN,Asia Pacific,Singapore,7,7.82
47.76.49.246,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,7.81
8.218.222.36,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,7.81
8.219.161.129,2052,2052,false,SIN,Asia Pacific,Singapore,15,7.81
8.217.49.34,2096,2096,true,HKG,Asia Pacific,Hong Kong,52,7.81
8.219.5.10,2095,2095,false,SIN,Asia Pacific,Singapore,15,7.81
47.237.95.156,8880,8880,false,SIN,Asia Pacific,Singapore,32,7.80
8.219.104.37,2087,2087,true,SIN,Asia Pacific,Singapore,50,7.80
8.219.6.150,2052,2052,false,SIN,Asia Pacific,Singapore,10,7.80
47.243.206.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,115,7.79
8.219.170.232,2095,2095,false,SIN,Asia Pacific,Singapore,29,7.79
8.222.146.222,8880,8880,false,SIN,Asia Pacific,Singapore,11,7.79
47.242.252.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,58,7.79
8.218.3.12,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,7.78
8.218.204.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,7.77
47.236.237.90,8880,8880,false,SIN,Asia Pacific,Singapore,16,7.77
8.210.192.93,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,7.76
47.236.237.90,2096,2096,true,SIN,Asia Pacific,Singapore,55,7.76
47.242.157.96,80,80,false,HKG,Asia Pacific,Hong Kong,39,7.75
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,110,7.74
47.237.100.206,2095,2095,false,SIN,Asia Pacific,Singapore,17,7.74
47.238.6.102,2096,2096,true,HKG,Asia Pacific,Hong Kong,64,7.74
8.219.202.130,2052,2052,false,SIN,Asia Pacific,Singapore,20,7.73
47.236.237.90,2052,2052,false,SIN,Asia Pacific,Singapore,15,7.73
8.218.188.129,2053,2053,true,HKG,Asia Pacific,Hong Kong,87,7.73
8.222.214.231,2082,2082,false,SIN,Asia Pacific,Singapore,23,7.73
47.236.164.215,443,443,true,SIN,Asia Pacific,Singapore,51,7.73
8.219.210.57,2052,2052,false,SIN,Asia Pacific,Singapore,19,7.73
47.236.205.188,2096,2096,true,SIN,Asia Pacific,Singapore,98,7.72
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,61,7.72
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,11,7.71
8.210.101.157,8080,8080,false,HKG,Asia Pacific,Hong Kong,58,7.71
8.222.180.86,2082,2082,false,SIN,Asia Pacific,Singapore,6,7.71
47.243.139.85,2053,2053,true,HKG,Asia Pacific,Hong Kong,151,7.71
8.217.164.10,8880,8880,false,HKG,Asia Pacific,Hong Kong,37,7.71
47.236.150.13,8080,8080,false,SIN,Asia Pacific,Singapore,22,7.70
47.243.60.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,7.70
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,7.70
8.219.161.129,2086,2086,false,SIN,Asia Pacific,Singapore,14,7.70
8.217.207.60,8080,8080,false,HKG,Asia Pacific,Hong Kong,56,7.70
47.242.79.71,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,7.69
8.218.74.119,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,7.69
8.219.194.170,2083,2083,true,SIN,Asia Pacific,Singapore,64,7.69
47.237.95.140,2082,2082,false,SIN,Asia Pacific,Singapore,22,7.69
8.219.107.135,2053,2053,true,SIN,Asia Pacific,Singapore,55,7.69
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,28,7.69
8.219.5.10,2052,2052,false,SIN,Asia Pacific,Singapore,3,7.69
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,107,7.69
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,14,7.68
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,64,7.67
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,62,7.67
8.218.204.128,80,80,false,HKG,Asia Pacific,Hong Kong,46,7.67
8.217.85.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,52,7.67
8.219.4.122,8080,8080,false,SIN,Asia Pacific,Singapore,6,7.66
8.222.137.192,8080,8080,false,SIN,Asia Pacific,Singapore,16,7.66
8.219.177.205,2086,2086,false,SIN,Asia Pacific,Singapore,29,7.66
8.219.120.87,2053,2053,true,SIN,Asia Pacific,Singapore,62,7.66
8.222.134.170,8443,8443,true,SIN,Asia Pacific,Singapore,58,7.65
8.218.181.189,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,7.65
47.243.91.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,7.65
47.236.9.152,2087,2087,true,SIN,Asia Pacific,Singapore,110,7.65
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,96,7.65
8.222.150.197,2083,2083,true,SIN,Asia Pacific,Singapore,106,7.64
8.217.248.220,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,7.64
47.236.102.102,2086,2086,false,SIN,Asia Pacific,Singapore,14,7.64
8.218.11.90,80,80,false,HKG,Asia Pacific,Hong Kong,46,7.64
8.219.191.110,2052,2052,false,SIN,Asia Pacific,Singapore,35,7.63
8.219.210.64,2096,2096,true,SIN,Asia Pacific,Singapore,103,7.63
47.236.117.48,2053,2053,true,SIN,Asia Pacific,Singapore,101,7.63
47.243.60.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,7.63
47.236.202.91,8443,8443,true,SIN,Asia Pacific,Singapore,68,7.62
8.219.201.245,2086,2086,false,SIN,Asia Pacific,Singapore,40,7.62
8.218.126.53,8443,8443,true,HKG,Asia Pacific,Hong Kong,144,7.62
8.210.21.65,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,7.61
8.219.189.143,8443,8443,true,SIN,Asia Pacific,Singapore,56,7.61
8.218.207.169,2096,2096,true,HKG,Asia Pacific,Hong Kong,90,7.61
8.210.146.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,7.61
8.219.248.47,2087,2087,true,SIN,Asia Pacific,Singapore,68,7.60
47.236.169.141,2053,2053,true,SIN,Asia Pacific,Singapore,128,7.60
8.219.1.92,2086,2086,false,SIN,Asia Pacific,Singapore,8,7.60
8.219.240.160,8880,8880,false,SIN,Asia Pacific,Singapore,31,7.60
8.217.164.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,7.60
8.219.163.195,80,80,false,SIN,Asia Pacific,Singapore,4,7.60
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,7.60
8.210.203.7,80,80,false,HKG,Asia Pacific,Hong Kong,46,7.59
8.219.191.40,2096,2096,true,SIN,Asia Pacific,Singapore,132,7.58
47.236.166.131,8080,8080,false,SIN,Asia Pacific,Singapore,31,7.58
8.217.221.165,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,7.58
47.242.234.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,7.58
8.219.248.47,8080,8080,false,SIN,Asia Pacific,Singapore,72,7.58
8.219.198.34,2095,2095,false,SIN,Asia Pacific,Singapore,39,7.58
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,7.57
8.217.239.116,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,7.57
8.210.66.190,2052,2052,false,HKG,Asia Pacific,Hong Kong,42,7.56
8.210.175.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,7.56
8.219.193.202,8080,8080,false,SIN,Asia Pacific,Singapore,17,7.55
8.219.5.10,2087,2087,true,SIN,Asia Pacific,Singapore,21,7.55
8.218.11.90,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,7.55
8.218.204.128,2052,2052,false,HKG,Asia Pacific,Hong Kong,54,7.55
47.88.15.127,443,443,true,SJC,North America,San Jose,183,7.54
8.219.132.64,8080,8080,false,SIN,Asia Pacific,Singapore,4,7.54
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,52,7.54
8.219.235.164,8080,8080,false,SIN,Asia Pacific,Singapore,24,7.54
8.210.3.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,7.54
8.222.184.198,8443,8443,true,SIN,Asia Pacific,Singapore,82,7.54
47.236.83.239,2087,2087,true,SIN,Asia Pacific,Singapore,58,7.53
47.237.81.112,2086,2086,false,SIN,Asia Pacific,Singapore,26,7.52
47.236.166.131,2052,2052,false,SIN,Asia Pacific,Singapore,18,7.52
8.219.201.245,8080,8080,false,SIN,Asia Pacific,Singapore,30,7.52
8.219.139.13,2096,2096,true,SIN,Asia Pacific,Singapore,82,7.52
47.242.202.230,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,7.52
8.219.122.55,8080,8080,false,SIN,Asia Pacific,Singapore,16,7.51
47.243.139.243,2095,2095,false,HKG,Asia Pacific,Hong Kong,44,7.51
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,12,7.50
47.237.95.140,8080,8080,false,SIN,Asia Pacific,Singapore,19,7.50
8.218.207.169,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,7.50
8.219.237.250,2052,2052,false,SIN,Asia Pacific,Singapore,8,7.50
47.236.180.51,8080,8080,false,SIN,Asia Pacific,Singapore,15,7.50
47.243.183.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,99,7.50
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,57,7.49
8.210.39.96,2082,2082,false,HKG,Asia Pacific,Hong Kong,37,7.49
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,16,7.49
47.76.32.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,50,7.48
8.217.164.10,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,7.48
47.237.86.185,2052,2052,false,SIN,Asia Pacific,Singapore,10,7.48
8.222.215.228,2083,2083,true,SIN,Asia Pacific,Singapore,63,7.48
8.219.0.162,80,80,false,SIN,Asia Pacific,Singapore,41,7.47
8.222.214.231,8080,8080,false,SIN,Asia Pacific,Singapore,6,7.47
8.218.65.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,67,7.46
8.217.221.165,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,7.46
47.243.90.180,2095,2095,false,HKG,Asia Pacific,Hong Kong,61,7.46
8.210.203.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,7.46
47.237.100.206,2096,2096,true,SIN,Asia Pacific,Singapore,47,7.46
8.210.101.157,2086,2086,false,HKG,Asia Pacific,Hong Kong,55,7.46
47.236.172.95,2096,2096,true,SIN,Asia Pacific,Singapore,64,7.45
8.218.22.210,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,7.45
8.219.4.122,8880,8880,false,SIN,Asia Pacific,Singapore,8,7.45
8.222.208.38,2096,2096,true,SIN,Asia Pacific,Singapore,67,7.45
47.236.144.196,2083,2083,true,SIN,Asia Pacific,Singapore,84,7.45
8.210.3.24,2082,2082,false,HKG,Asia Pacific,Hong Kong,47,7.45
8.219.191.40,2082,2082,false,SIN,Asia Pacific,Singapore,18,7.44
8.222.184.198,8880,8880,false,SIN,Asia Pacific,Singapore,7,7.44
8.210.21.65,80,80,false,HKG,Asia Pacific,Hong Kong,54,7.44
47.243.206.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,7.44
8.222.137.192,80,80,false,SIN,Asia Pacific,Singapore,14,7.44
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,32,7.44
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,19,7.44
8.219.174.142,8880,8880,false,SIN,Asia Pacific,Singapore,13,7.44
8.219.191.40,8880,8880,false,SIN,Asia Pacific,Singapore,34,7.43
8.222.214.231,443,443,true,SIN,Asia Pacific,Singapore,51,7.43
8.222.162.45,2086,2086,false,SIN,Asia Pacific,Singapore,22,7.43
8.210.34.188,80,80,false,HKG,Asia Pacific,Hong Kong,40,7.43
47.236.170.54,2083,2083,true,SIN,Asia Pacific,Singapore,69,7.42
8.218.18.132,80,80,false,HKG,Asia Pacific,Hong Kong,45,7.42
47.76.80.72,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,7.42
8.222.187.4,8080,8080,false,SIN,Asia Pacific,Singapore,16,7.42
8.222.136.247,2095,2095,false,SIN,Asia Pacific,Singapore,12,7.42
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,83,7.42
8.222.191.138,2086,2086,false,SIN,Asia Pacific,Singapore,11,7.42
47.242.232.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,81,7.42
47.236.121.23,2083,2083,true,SIN,Asia Pacific,Singapore,86,7.41
8.219.210.64,2096,2096,true,SIN,Asia Pacific,Singapore,69,7.41
47.242.234.127,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,7.41
8.222.183.242,2052,2052,false,SIN,Asia Pacific,Singapore,21,7.41
8.219.161.129,8080,8080,false,SIN,Asia Pacific,Singapore,16,7.39
8.210.146.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,7.39
8.219.98.13,2083,2083,true,SIN,Asia Pacific,Singapore,78,7.39
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,20,7.39
47.243.234.9,80,80,false,HKG,Asia Pacific,Hong Kong,41,7.39
8.219.189.143,2083,2083,true,SIN,Asia Pacific,Singapore,102,7.39
8.218.207.169,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,7.39
47.236.170.54,2096,2096,true,SIN,Asia Pacific,Singapore,66,7.39
8.219.210.64,2083,2083,true,SIN,Asia Pacific,Singapore,70,7.38
8.210.156.6,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,7.38
8.218.52.115,80,80,false,HKG,Asia Pacific,Hong Kong,49,7.38
8.219.5.10,8443,8443,true,SIN,Asia Pacific,Singapore,35,7.38
8.219.220.88,80,80,false,SIN,Asia Pacific,Singapore,25,7.37
47.243.139.243,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,7.36
47.243.90.180,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,7.36
8.218.18.235,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,7.36
8.219.210.64,80,80,false,SIN,Asia Pacific,Singapore,7,7.36
8.219.111.147,2095,2095,false,SIN,Asia Pacific,Singapore,5,7.35
8.217.145.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,7.35
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,104,7.34
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,47,7.34
47.237.94.140,2052,2052,false,SIN,Asia Pacific,Singapore,27,7.34
47.242.36.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,97,7.34
8.222.160.176,2086,2086,false,SIN,Asia Pacific,Singapore,21,7.34
8.210.100.23,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,7.33
8.219.201.245,2087,2087,true,SIN,Asia Pacific,Singapore,95,7.32
8.219.50.180,8880,8880,false,SIN,Asia Pacific,Singapore,4,7.31
8.219.87.30,8880,8880,false,SIN,Asia Pacific,Singapore,7,7.31
47.236.83.239,2083,2083,true,SIN,Asia Pacific,Singapore,101,7.31
47.76.80.72,80,80,false,HKG,Asia Pacific,Hong Kong,53,7.31
8.217.250.5,8880,8880,false,HKG,Asia Pacific,Hong Kong,34,7.30
8.219.1.92,8080,8080,false,SIN,Asia Pacific,Singapore,6,7.30
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,15,7.30
8.219.248.47,2095,2095,false,SIN,Asia Pacific,Singapore,32,7.30
47.237.83.20,2086,2086,false,SIN,Asia Pacific,Singapore,13,7.30
47.236.9.152,2083,2083,true,SIN,Asia Pacific,Singapore,67,7.30
8.222.174.108,2096,2096,true,SIN,Asia Pacific,Singapore,68,7.29
8.222.215.228,80,80,false,SIN,Asia Pacific,Singapore,15,7.29
8.222.150.197,2053,2053,true,SIN,Asia Pacific,Singapore,56,7.29
8.219.5.10,2082,2082,false,SIN,Asia Pacific,Singapore,5,7.29
8.219.237.250,8080,8080,false,SIN,Asia Pacific,Singapore,16,7.29
47.243.27.217,2083,2083,true,HKG,Asia Pacific,Hong Kong,72,7.27
8.219.201.8,80,80,false,SIN,Asia Pacific,Singapore,32,7.27
47.76.33.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,7.27
8.219.201.8,80,80,false,SIN,Asia Pacific,Singapore,22,7.26
47.237.95.156,2082,2082,false,SIN,Asia Pacific,Singapore,11,7.26
8.219.210.64,2086,2086,false,SIN,Asia Pacific,Singapore,26,7.26
8.218.146.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,7.26
8.219.201.8,2086,2086,false,SIN,Asia Pacific,Singapore,15,7.26
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,7.26
8.218.143.10,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,7.25
8.222.180.86,8080,8080,false,SIN,Asia Pacific,Singapore,4,7.25
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,31,7.25
8.219.209.14,2087,2087,true,SIN,Asia Pacific,Singapore,83,7.25
8.219.191.110,2083,2083,true,SIN,Asia Pacific,Singapore,79,7.25
8.219.235.164,2053,2053,true,SIN,Asia Pacific,Singapore,116,7.25
8.219.198.139,443,443,true,SIN,Asia Pacific,Singapore,69,7.25
47.242.157.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,7.24
47.236.237.90,2052,2052,false,SIN,Asia Pacific,Singapore,225,7.24
47.243.60.150,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,7.24
8.210.55.134,8443,8443,true,HKG,Asia Pacific,Hong Kong,127,7.23
8.218.65.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,7.23
47.236.202.91,2053,2053,true,SIN,Asia Pacific,Singapore,48,7.23
8.222.150.197,2053,2053,true,SIN,Asia Pacific,Singapore,40,7.23
8.210.107.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,7.22
8.219.193.202,2052,2052,false,SIN,Asia Pacific,Singapore,11,7.22
8.210.34.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,7.22
8.218.122.55,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,7.22
8.218.136.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,7.22
8.219.191.40,2095,2095,false,SIN,Asia Pacific,Singapore,11,7.22
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,91,7.21
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,29,7.21
8.218.136.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,86,7.21
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,38,7.20
47.238.6.102,8443,8443,true,HKG,Asia Pacific,Hong Kong,65,7.20
47.76.159.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,41,7.20
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,26,7.19
8.222.146.222,8443,8443,true,SIN,Asia Pacific,Singapore,41,7.19
8.210.203.7,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,7.19
8.217.221.165,2095,2095,false,HKG,Asia Pacific,Hong Kong,84,7.18
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,113,7.18
8.210.100.23,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,7.18
8.219.210.57,2052,2052,false,SIN,Asia Pacific,Singapore,13,7.17
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,7.17
8.210.192.93,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,7.16
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,7.16
8.210.203.7,2096,2096,true,HKG,Asia Pacific,Hong Kong,94,7.16
8.219.42.72,80,80,false,SIN,Asia Pacific,Singapore,4,7.16
47.236.118.216,2083,2083,true,SIN,Asia Pacific,Singapore,86,7.15
8.218.122.55,8880,8880,false,HKG,Asia Pacific,Hong Kong,53,7.14
8.219.120.87,2087,2087,true,SIN,Asia Pacific,Singapore,33,7.14
8.219.40.37,2082,2082,false,SIN,Asia Pacific,Singapore,5,7.14
8.219.110.81,2096,2096,true,SIN,Asia Pacific,Singapore,34,7.14
8.222.215.228,2082,2082,false,SIN,Asia Pacific,Singapore,9,7.13
8.217.250.222,2086,2086,false,HKG,Asia Pacific,Hong Kong,61,7.13
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,64,7.13
47.236.171.205,2096,2096,true,SIN,Asia Pacific,Singapore,96,7.13
47.236.17.193,8443,8443,true,SIN,Asia Pacific,Singapore,81,7.13
8.219.210.64,2082,2082,false,SIN,Asia Pacific,Singapore,31,7.13
